,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
96,Diaľnica,D00001,301,M9716,2015.0,-1,Neznámy,20.59233,49.0073,2021
97,Diaľnica,D00001,305,M9735,2015.0,-1,Neznámy,20.65539,49.00783,2021
98,Diaľnica,D00001,SO 204-00,M9935,2021.0,-1,Neznámy,18.66763,49.2039,2021
99,Diaľnica,D00001,194,M3585,2006.0,-1,Neznámy,18.581382728,49.220267186,2021
100,Diaľnica,R00002,110,M9702,2017.0,-1,Neznámy,19.32134,48.5538,2021
101,Diaľnica,R00001,143,M9466,2010.0,-1,Neznámy,18.887165,48.588558,2021
102,Diaľnica,R00002,107,M9700,2017.0,-1,Neznámy,19.26883,48.57169,2021
103,Diaľnica,D00001,250,M2561,2008.0,-1,Neznámy,19.990267712,49.070517696,2021
104,Diaľnica,D00003,19,M5416,2007.0,-1,Neznámy,18.682583321,49.251731486,2021
105,Diaľnica,D00001,306,M9781,2015.0,-1,Neznámy,20.6645,49.00955,2021
106,Diaľnica,D00001,307,M9782,2015.0,-1,Neznámy,20.67818,49.00788,2021
107,Diaľnica,D00001,253,M6209,2008.0,-1,Neznámy,20.023628347,49.069394393,2021
108,Diaľnica,D00001,308,M9639,2015.0,-1,Neznámy,20.69153,49.00631,2021
109,Diaľnica,D00001,319,M9400,2010.0,-1,Neznámy,20.756304,49.007948,2021
110,Diaľnica,D00001,230A,M4812,1986.0,-1,Neznámy,19.76126728,49.056794662,2021
111,Diaľnica,D00001,127,M9419,1997.0,-1,Neznámy,17.076225,48.126365,2021
112,Diaľnica,D00001,320,M9396,2011.0,-1,Neznámy,20.764578,49.007706,2021
113,Diaľnica,D00001,254,M335,2008.0,-1,Neznámy,20.038111733,49.069779802,2021
114,Diaľnica,D00001,321,M9402,2010.0,-1,Neznámy,20.776805,49.006522,2021
115,Diaľnica,D00001,250.2,M5135,1700.0,-1,Neznámy,19.988579154,49.071721241,2021
116,Diaľnica,D00004,,M9836,2019.0,-1,Neznámy,17.2203,48.10813,2021
117,Cesta III. triedy,1082,,M9874,2020.0,-1,Neznámy,17.22211,48.21144,2021
118,Cesta I. triedy,18,348A,M7375,1000.0,-1,Neznámy,19.611161233,49.08240722,2021
119,Diaľnica,D00003,8,M9299,2007.0,-1,Neznámy,18.616461,49.227869,2021
120,Diaľnica,D00001,230,M9752,2015.0,-1,Neznámy,19.01621,49.10182,2021
121,Diaľnica,D00003,D3-071 P,M9757,2016.0,-1,Neznámy,18.788,49.486,2021
122,Diaľnica,D00003,D3-071.1,M9750,2016.0,-1,Neznámy,18.789,49.484,2021
123,Diaľnica,D00003,D3-071.3,M9756,2016.0,-1,Neznámy,18.784,49.489,2021
124,Diaľnica,D00003,D3-072,M9727,2016.0,-1,Neznámy,18.79713,49.48969,2021
125,Diaľnica,D00003,D3-071.2,M9747,2016.0,-1,Neznámy,18.786,49.487,2021
126,Diaľnica,D00003,,M9881,2020.0,-1,Neznámy,18.79701,49.43976,2021
127,Diaľnica,D00003,065.2,M9880,2020.0,-1,Neznámy,18.77934,49.45968,2021
128,Diaľnica,D00003,D3-073,M9768,2016.0,-1,Neznámy,18.80475,49.49317,2021
129,Diaľnica,D00001,226,M9753,2014.0,-1,Neznámy,18.99198,49.10339,2021
130,Diaľnica,D00003,D3-074,M9779,2016.0,-1,Neznámy,18.81051,49.49608,2021
131,Cesta III. triedy,3300,2,M1627,1000.0,-1,Neznámy,20.8455,48.56604,2021
132,Diaľnica,D00003,,M9873,2020.0,-1,Neznámy,18.78125,49.45661,2021
133,Diaľnica,D00001,252,M5571,2008.0,-1,Neznámy,20.016148444,49.070137832,2021
134,Diaľnica,D00003,,M9888,2020.0,-1,Neznámy,18.78222,49.46032,2021
135,Diaľnica,D00003,D3-076,M9772,2016.0,-1,Neznámy,18.82128,49.50299,2021
136,Diaľnica,D00003,065.1,M9878,2020.0,-1,Neznámy,18.77925,49.45944,2021
137,Diaľnica,D00003,D3-077,M9780,2016.0,-1,Neznámy,18.83166,49.50675,2021
138,Diaľnica,D00001,159 2,M7395,2004.0,-1,Neznámy,18.34017564,49.06467331,2021
